year,month,region,k_declarations
2011,1,6,0
2012,1,6,0
2013,1,6,1
2014,1,6,2
2015,1,6,0
2016,1,6,0
2017,1,6,0
2018,1,6,0
2019,1,6,0
2020,1,6,0
2004,2,6,0
2005,2,6,0
2006,2,6,0
2007,2,6,3
2008,2,6,1
2009,2,6,3
2010,2,6,2
2011,2,6,0
2012,2,6,0
2013,2,6,1
2014,2,6,0
2015,2,6,0
2016,2,6,3
2017,2,6,2
2018,2,6,0
2019,2,6,1
2020,2,6,0
2004,3,6,0
2005,3,6,0
2006,3,6,0
2007,3,6,0
2008,3,6,1
2009,3,6,0
2010,3,6,1
2011,3,6,1
2012,3,6,0
2013,3,6,0
2014,3,6,0
2015,3,6,0
2016,3,6,2
2017,3,6,0
2018,3,6,0
2019,3,6,0
2020,3,6,2
2004,4,6,1
2005,4,6,0
2006,4,6,2
2007,4,6,1
2008,4,6,0
2009,4,6,1
2010,4,6,0
2011,4,6,1
2012,4,6,0
2013,4,6,1
2014,4,6,1
2015,4,6,0
2016,4,6,1
2017,4,6,0
2018,4,6,0
2019,4,6,0
2020,4,6,3
2004,5,6,1
2005,5,6,0
2006,5,6,0
2007,5,6,1
2008,5,6,4
2009,5,6,0
2010,5,6,1
2011,5,6,3
2012,5,6,0
2013,5,6,1
2014,5,6,0
2015,5,6,2
2016,5,6,1
2017,5,6,1
2018,5,6,0
2019,5,6,0
2020,5,6,1
2004,6,6,2
2005,6,6,0
2006,6,6,0
2007,6,6,2
2008,6,6,0
2009,6,6,2
2010,6,6,0
2011,6,6,1
2012,6,6,1
2013,6,6,1
2014,6,6,0
2015,6,6,1
2016,6,6,1
2017,6,6,1
2018,6,6,1
2019,6,6,3
2020,6,6,0
2004,7,6,0
2005,7,6,0
2006,7,6,0
2007,7,6,1
2008,7,6,2
2009,7,6,0
2010,7,6,1
2011,7,6,2
2012,7,6,0
2013,7,6,0
2014,7,6,0
2015,7,6,1
2016,7,6,1
2017,7,6,1
2018,7,6,1
2019,7,6,2
2020,7,6,1
2004,8,6,0
2005,8,6,2
2006,8,6,2
2007,8,6,2
2008,8,6,1
2009,8,6,0
2010,8,6,1
2011,8,6,1
2012,8,6,3
2013,8,6,1
2014,8,6,0
2015,8,6,0
2016,8,6,1
2017,8,6,1
2018,8,6,0
2019,8,6,2
2020,8,6,1
2004,9,6,1
2005,9,6,2
2006,9,6,0
2007,9,6,0
2008,9,6,4
2009,9,6,0
2010,9,6,1
2011,9,6,1
2012,9,6,0
2013,9,6,3
2014,9,6,0
2015,9,6,0
2016,9,6,0
2017,9,6,0
2018,9,6,0
2019,9,6,2
2020,9,6,0
2004,10,6,0
2005,10,6,0
2006,10,6,0
2007,10,6,1
2008,10,6,2
2009,10,6,0
2010,10,6,0
2011,10,6,1
2012,10,6,0
2013,10,6,2
2014,10,6,2
2015,10,6,0
2016,10,6,0
2017,10,6,1
2018,10,6,0
2019,10,6,1
2020,10,6,1
2004,11,6,0
2005,11,6,0
2006,11,6,1
2007,11,6,0
2008,11,6,0
2009,11,6,0
2010,11,6,0
2011,11,6,1
2012,11,6,0
2013,11,6,0
2014,11,6,0
2015,11,6,1
2016,11,6,0
2017,11,6,0
2018,11,6,0
2019,11,6,0
2020,11,6,0
2004,12,6,0
2005,12,6,0
2006,12,6,0
2007,12,6,1
2008,12,6,0
2009,12,6,2
2010,12,6,0
2011,12,6,0
2012,12,6,0
2013,12,6,1
2014,12,6,0
2015,12,6,1
2016,12,6,0
2017,12,6,1
2018,12,6,0
2019,12,6,0
2020,12,6,2
2004,1,7,0
2005,1,7,0
2006,1,7,2
2007,1,7,3
2008,1,7,2
2009,1,7,0
2010,1,7,0
2011,1,7,0
2012,1,7,0
2013,1,7,0
2014,1,7,0
2015,1,7,0
2016,1,7,1
2017,1,7,0
2018,1,7,0
2019,1,7,0
2020,1,7,0
2004,2,7,0
2005,2,7,1
2006,2,7,0
2007,2,7,0
2008,2,7,2
2009,2,7,1
2010,2,7,2
2011,2,7,0
2012,2,7,0
2013,2,7,0
2014,2,7,0
2015,2,7,0
2016,2,7,0
2017,2,7,1
2018,2,7,0
2019,2,7,1
2020,2,7,0
2004,3,7,0
2005,3,7,0
2006,3,7,1
2007,3,7,1
2008,3,7,2
2009,3,7,0
2010,3,7,2
2011,3,7,1
2012,3,7,0
2013,3,7,0
2014,3,7,0
2015,3,7,0
2016,3,7,0
2017,3,7,0
2018,3,7,0
2019,3,7,2
2020,3,7,3
2004,4,7,0
2005,4,7,0
2006,4,7,2
2007,4,7,0
2008,4,7,0
2009,4,7,0
2010,4,7,1
2011,4,7,0
2012,4,7,0
2013,4,7,1
2014,4,7,0
2015,4,7,0
2016,4,7,0
2017,4,7,0
2018,4,7,0
2019,4,7,1
2020,4,7,1
2004,5,7,2
2005,5,7,0
2006,5,7,0
2007,5,7,2
2008,5,7,3
2009,5,7,0
2010,5,7,0
2011,5,7,2
2012,5,7,1
2013,5,7,2
2014,5,7,0
2015,5,7,0
2016,5,7,0
2017,5,7,0
2018,5,7,0
2019,5,7,1
2020,5,7,0
2004,6,7,1
2005,6,7,1
2006,6,7,0
2007,6,7,2
2008,6,7,2
2009,6,7,3
2010,6,7,0
2011,6,7,1
2012,6,7,0
2013,6,7,0
2014,6,7,1
2015,6,7,1
2016,6,7,0
2017,6,7,3
2018,6,7,1
2019,6,7,2
2020,6,7,0
2004,7,7,0
2005,7,7,0
2006,7,7,0
2007,7,7,2
2008,7,7,2
2009,7,7,1
2010,7,7,3
2011,7,7,1
2012,7,7,0
2013,7,7,3
2014,7,7,4
2015,7,7,2
2016,7,7,0
2017,7,7,0
2018,7,7,0
2019,7,7,1
2020,7,7,1
2004,8,7,1
2005,8,7,1
2006,8,7,0
2007,8,7,1
2008,8,7,0
2009,8,7,1
2010,8,7,2
2011,8,7,5
2012,8,7,0
2013,8,7,0
2014,8,7,1
2015,8,7,1
2016,8,7,0
2017,8,7,2
2018,8,7,2
2019,8,7,0
2020,8,7,1
2004,9,7,1
2005,9,7,0
2006,9,7,0
2007,9,7,2
2008,9,7,0
2009,9,7,1
2010,9,7,0
2011,9,7,1
2012,9,7,0
2013,9,7,1
2014,9,7,0
2015,9,7,0
2016,9,7,1
2017,9,7,0
2018,9,7,1
2019,9,7,0
2020,9,7,1
2004,10,7,0
2005,10,7,0
2006,10,7,0
2007,10,7,0
2008,10,7,1
2009,10,7,0
2010,10,7,1
2011,10,7,0
2012,10,7,0
2013,10,7,1
2014,10,7,1
2015,10,7,0
2016,10,7,2
2017,10,7,0
2018,10,7,1
2019,10,7,0
2020,10,7,0
2004,11,7,0
2005,11,7,1
2006,11,7,1
2007,11,7,0
2008,11,7,1
2009,11,7,0
2010,11,7,0
2011,11,7,0
2012,11,7,0
2013,11,7,1
2014,11,7,0
2015,11,7,0
2016,11,7,0
2017,11,7,1
2018,11,7,0
2019,11,7,0
2020,11,7,0
2004,12,7,0
2005,12,7,0
2006,12,7,1
2007,12,7,1
2008,12,7,0
2009,12,7,2
2010,12,7,0
2011,12,7,0
2012,12,7,0
2013,12,7,0
2014,12,7,0
2015,12,7,0
2016,12,7,0
2017,12,7,0
2018,12,7,0
2019,12,7,0
2020,12,7,0
2004,1,8,0
2005,1,8,0
2006,1,8,1
2007,1,8,0
2008,1,8,0
2009,1,8,0
2010,1,8,0
2011,1,8,0
2012,1,8,0
2013,1,8,0
2014,1,8,0
2015,1,8,0
2016,1,8,0
2017,1,8,0
2018,1,8,0
2019,1,8,0
2020,1,8,1
2004,2,8,0
2005,2,8,1
2006,2,8,0
2007,2,8,0
2008,2,8,0
2009,2,8,0
2010,2,8,1
2011,2,8,1
2012,2,8,1
2013,2,8,0
2014,2,8,0
2015,2,8,0
2016,2,8,0
2017,2,8,1
2018,2,8,0
2019,2,8,0
2020,2,8,0
2004,3,8,0
2005,3,8,0
2006,3,8,0
2007,3,8,0
2008,3,8,0
2009,3,8,1
2010,3,8,2
2011,3,8,0
2012,3,8,0
2013,3,8,0
2014,3,8,0
2015,3,8,0
2016,3,8,0
2017,3,8,1
2018,3,8,0
2019,3,8,0
2020,3,8,2
2004,4,8,0
2005,4,8,0
2006,4,8,0
2007,4,8,0
2008,4,8,0
2009,4,8,0
2010,4,8,2
2011,4,8,0
2012,4,8,0
2013,4,8,0
2014,4,8,1
2015,4,8,0
2016,4,8,0
2017,4,8,1
2018,4,8,0
2019,4,8,0
2020,4,8,4
2004,5,8,1
2005,5,8,0
2006,5,8,0
2007,5,8,1
2008,5,8,2
2009,5,8,0
2010,5,8,2
2011,5,8,3
2012,5,8,0
2013,5,8,2
2014,5,8,0
2015,5,8,0
2016,5,8,1
2017,5,8,0
2018,5,8,0
2019,5,8,1
2020,5,8,0
2004,6,8,0
2005,6,8,0
2006,6,8,2
2007,6,8,0
2008,6,8,1
2009,6,8,1
2010,6,8,0
2011,6,8,1
2012,6,8,1
2013,6,8,2
2014,6,8,0
2015,6,8,0
2016,6,8,0
2017,6,8,0
2018,6,8,0
2019,6,8,3
2020,6,8,0
2004,7,8,1
2005,7,8,2
2006,7,8,0
2007,7,8,1
2008,7,8,1
2009,7,8,0
2010,7,8,3
2011,7,8,1
2012,7,8,0
2013,7,8,4
2014,7,8,1
2015,7,8,3
2016,7,8,0
2017,7,8,1
2018,7,8,0
2019,7,8,0
2020,7,8,2
2004,8,8,0
2005,8,8,2
2006,8,8,0
2007,8,8,0
2008,8,8,0
2009,8,8,0
2010,8,8,0
2011,8,8,1
2012,8,8,1
2013,8,8,1
2014,8,8,1
2015,8,8,1
2016,8,8,1
2017,8,8,1
2018,8,8,1
2019,8,8,0
2020,8,8,0
2004,9,8,0
2005,9,8,0
2006,9,8,0
2007,9,8,2
2008,9,8,0
2009,9,8,0
2010,9,8,1
2011,9,8,0
2012,9,8,0
2013,9,8,1
2014,9,8,0
2015,9,8,0
2016,9,8,0
2017,9,8,0
2018,9,8,0
2019,9,8,1
2020,9,8,0
2004,10,8,0
2005,10,8,0
2006,10,8,0
2007,10,8,0
2008,10,8,0
2009,10,8,0
2010,10,8,0
2011,10,8,0
2012,10,8,0
2013,10,8,1
2014,10,8,1
2015,10,8,0
2016,10,8,0
2017,10,8,0
2018,10,8,1
2019,10,8,1
2020,10,8,1
2004,11,8,0
2005,11,8,1
2006,11,8,0
2007,11,8,0
2008,11,8,0
2009,11,8,0
2010,11,8,1
2011,11,8,0
2012,11,8,1
2013,11,8,1
2014,11,8,0
2015,11,8,0
2016,11,8,0
2017,11,8,0
2018,11,8,0
2019,11,8,1
2020,11,8,0
2004,12,8,0
2005,12,8,1
2006,12,8,0
2007,12,8,0
2008,12,8,1
2009,12,8,0
2010,12,8,0
2011,12,8,0
2012,12,8,0
2013,12,8,0
2014,12,8,0
2015,12,8,0
2016,12,8,0
2017,12,8,0
2018,12,8,0
2019,12,8,0
2020,12,8,0
2004,1,9,2
2005,1,9,0
2006,1,9,0
2007,1,9,0
2008,1,9,1
2009,1,9,1
2010,1,9,0
2011,1,9,1
2012,1,9,0
2013,1,9,0
2014,1,9,0
2015,1,9,1
2016,1,9,0
2017,1,9,0
2018,1,9,1
2019,1,9,0
2020,1,9,0
2004,2,9,0
2005,2,9,4
2006,2,9,2
2007,2,9,0
2008,2,9,1
2009,2,9,0
2010,2,9,0
2011,2,9,0
2012,2,9,0
2013,2,9,0
2014,2,9,0
2015,2,9,0
2016,2,9,0
2017,2,9,3
2018,2,9,0
2019,2,9,0
2020,2,9,0
2004,3,9,0
2005,3,9,1
2006,3,9,0
2007,3,9,1
2008,3,9,0
2009,3,9,0
2010,3,9,2
2011,3,9,0
2012,3,9,0
2013,3,9,1
2014,3,9,0
2015,3,9,0
2016,3,9,0
2017,3,9,2
2018,3,9,1
2019,3,9,2
2020,3,9,2
2004,4,9,1
2005,4,9,2
2006,4,9,0
2007,4,9,0
2008,4,9,0
2009,4,9,0
2010,4,9,0
2011,4,9,2
2012,4,9,1
2013,4,9,0
2014,4,9,0
2015,4,9,0
2016,4,9,0
2017,4,9,1
2018,4,9,0
2019,4,9,1
2020,4,9,5
2004,5,9,0
2005,5,9,0
2006,5,9,1
2007,5,9,0
2008,5,9,0
2009,5,9,0
2010,5,9,1
2011,5,9,0
2012,5,9,0
2013,5,9,0
2014,5,9,0
2015,5,9,0
2016,5,9,0
2017,5,9,1
2018,5,9,2
2019,5,9,4
2020,5,9,0
2004,6,9,1
2005,6,9,0
2006,6,9,1
2007,6,9,0
2008,6,9,0
2009,6,9,0
2010,6,9,0
2011,6,9,0
2012,6,9,0
2013,6,9,0
2014,6,9,0
2015,6,9,1
2016,6,9,0
2017,6,9,0
2018,6,9,0
2019,6,9,0
2020,6,9,0
2004,7,9,2
2005,7,9,0
2006,7,9,0
2007,7,9,0
2008,7,9,0
2009,7,9,0
2010,7,9,0
2011,7,9,0
2012,7,9,0
2013,7,9,0
2014,7,9,0
2015,7,9,0
2016,7,9,0
2017,7,9,0
2018,7,9,0
2019,7,9,0
2020,7,9,1
2004,8,9,2
2005,8,9,0
2006,8,9,0
2007,8,9,0
2008,8,9,0
2009,8,9,0
2010,8,9,0
2011,8,9,0
2012,8,9,0
2013,8,9,1
2014,8,9,0
2015,8,9,1
2016,8,9,0
2017,8,9,0
2018,8,9,2
2019,8,9,0
2020,8,9,1
2004,9,9,0
2005,9,9,0
2006,9,9,1
2007,9,9,0
2008,9,9,0
2009,9,9,1
2010,9,9,0
2011,9,9,0
2012,9,9,0
2013,9,9,0
2014,9,9,4
2015,9,9,1
2016,9,9,0
2017,9,9,0
2018,9,9,2
2019,9,9,0
2020,9,9,0
2004,10,9,0
2005,10,9,0
2006,10,9,1
2007,10,9,1
2008,10,9,0
2009,10,9,0
2010,10,9,1
2011,10,9,0
2012,10,9,0
2013,10,9,0
2014,10,9,0
2015,10,9,0
2016,10,9,1
2017,10,9,1
2018,10,9,2
2019,10,9,0
2020,10,9,1
2004,11,9,0
2005,11,9,1
2006,11,9,0
2007,11,9,0
2008,11,9,1
2009,11,9,0
2010,11,9,0
2011,11,9,0
2012,11,9,0
2013,11,9,0
2014,11,9,3
2015,11,9,0
2016,11,9,0
2017,11,9,0
2018,11,9,2
2019,11,9,0
2020,11,9,0
2004,12,9,0
2005,12,9,0
2006,12,9,0
2007,12,9,0
2008,12,9,0
2009,12,9,0
2010,12,9,1
2011,12,9,0
2012,12,9,0
2013,12,9,1
2014,12,9,0
2015,12,9,0
2016,12,9,0
2017,12,9,0
2018,12,9,0
2019,12,9,0
2020,12,9,0
2004,1,10,0
2005,1,10,0
2006,1,10,0
2007,1,10,0
2008,1,10,0
2009,1,10,1
2010,1,10,0
2011,1,10,0
2012,1,10,0
2013,1,10,0
2014,1,10,2
2015,1,10,0
2016,1,10,1
2017,1,10,1
2018,1,10,0
2019,1,10,1
2020,1,10,0
2004,2,10,1
2005,2,10,0
2006,2,10,1
2007,2,10,2
2008,2,10,0
2009,2,10,0
2010,2,10,0
2011,2,10,1
2012,2,10,1
2013,2,10,0
2014,2,10,0
2015,2,10,0
2016,2,10,4
2017,2,10,0
2018,2,10,0
2019,2,10,0
2020,2,10,0
2004,3,10,0
2005,3,10,1
2006,3,10,1
2007,3,10,0
2008,3,10,0
2009,3,10,2
2010,3,10,0
2011,3,10,2
2012,3,10,2
2013,3,10,0
2014,3,10,0
2015,3,10,0
2016,3,10,0
2017,3,10,0
2018,3,10,0
2019,3,10,1
2020,3,10,2
2004,4,10,0
2005,4,10,0
2006,4,10,0
2007,4,10,0
2008,4,10,0
2009,4,10,0
2010,4,10,0
2011,4,10,0
2012,4,10,0
2013,4,10,0
2014,4,10,2
2015,4,10,0
2016,4,10,0
2017,4,10,2
2018,4,10,0
2019,4,10,0
2020,4,10,4
2004,5,10,0
2005,5,10,0
2006,5,10,1
2007,5,10,0
2008,5,10,0
2009,5,10,0
2010,5,10,0
2011,5,10,1
2012,5,10,0
2013,5,10,0
2014,5,10,0
2015,5,10,0
2016,5,10,0
2017,5,10,1
2018,5,10,0
2019,5,10,1
2020,5,10,0
2004,6,10,0
2005,6,10,0
2006,6,10,0
2007,6,10,0
2008,6,10,0
2009,6,10,1
2010,6,10,0
2011,6,10,1
2012,6,10,0
2013,6,10,1
2014,6,10,0
2015,6,10,0
2016,6,10,0
2017,6,10,0
2018,6,10,1
2019,6,10,1
2020,6,10,0
2004,7,10,0
2005,7,10,1
2006,7,10,0
2007,7,10,0
2008,7,10,1
2009,7,10,0
2010,7,10,1
2011,7,10,0
2012,7,10,0
2013,7,10,0
2014,7,10,0
2015,7,10,0
2016,7,10,0
2017,7,10,0
2018,7,10,0
2019,7,10,1
2020,7,10,0
2004,8,10,0
2005,8,10,0
2006,8,10,1
2007,8,10,0
2008,8,10,0
2009,8,10,0
2010,8,10,0
2011,8,10,0
2012,8,10,0
2013,8,10,0
2014,8,10,1
2015,8,10,0
2016,8,10,0
2017,8,10,2
2018,8,10,1
2019,8,10,0
2020,8,10,0
2004,9,10,0
2005,9,10,0
2006,9,10,0
2007,9,10,0
2008,9,10,1
2009,9,10,0
2010,9,10,0
2011,9,10,0
2012,9,10,1
2013,9,10,0
2014,9,10,0
2015,9,10,0
2016,9,10,0
2017,9,10,0
2018,9,10,1
2019,9,10,0
2020,9,10,1
2004,10,10,0
2005,10,10,0
2006,10,10,2
2007,10,10,0
2008,10,10,0
2009,10,10,0
2010,10,10,0
2011,10,10,0
2012,10,10,0
2013,10,10,0
2014,10,10,0
2015,10,10,3
2016,10,10,0
2017,10,10,1
2018,10,10,0
2019,10,10,0
2020,10,10,0
2004,11,10,1
2005,11,10,0
2006,11,10,0
2007,11,10,0
2008,11,10,0
2009,11,10,0
2010,11,10,0
2011,11,10,0
2012,11,10,1
2013,11,10,0
2014,11,10,0
2015,11,10,0
2016,11,10,0
2017,11,10,0
2018,11,10,0
2019,11,10,0
2020,11,10,0
2004,12,10,0
2005,12,10,1
2006,12,10,3
2007,12,10,2
2008,12,10,0
2009,12,10,1
2010,12,10,0
2011,12,10,1
2012,12,10,0
2013,12,10,0
2014,12,10,0
2015,12,10,1
2016,12,10,0
2017,12,10,1
2018,12,10,0
2019,12,10,0
2020,12,10,0
